initialization,seed,final_inertia,mse,unique_colours,iterations,runtime_seconds
random,1,175364152.72127295,63.996283778725,8,20,13.09245060000103
random,2,164817327.16235745,60.147392024286134,8,20,16.404996999975992
random,3,133702975.07718924,48.79271733887055,8,20,12.634921200020472
random,4,177242244.0729136,64.6816625476288,8,20,15.036632600007579
random,5,180948858.09686095,66.03433080538706,8,20,14.903858399979072
kmeans++,1,130890182.66377923,47.766234681463715,8,20,13.106170300015947
kmeans++,2,145278075.6463307,53.016861266206966,8,20,14.624290000007022
kmeans++,3,145828325.83995003,53.2176660885935,8,20,12.61754559999099
kmeans++,4,137471469.97150362,50.16796800973337,8,20,12.384162400005152
kmeans++,5,145332216.1923015,53.03661897432528,8,20,13.823252700007288
